sample	reference	assembly_coverageDepth	reads_total	reads_mapped	fraction_reads_mapped	coverage_rawDepth	base_count	count_circular_contigs	busco_single	busco_duplicates	genes_full	genes_partial	fraction_genes_recovered	run_name	version	timestamp	# contigs (>= 0 bp)	# contigs (>= 1000 bp)	# contigs (>= 5000 bp)	# contigs (>= 10000 bp)	# contigs (>= 25000 bp)	# contigs (>= 50000 bp)	Total length (>= 0 bp)	Total length (>= 1000 bp)	Total length (>= 5000 bp)	Total length (>= 10000 bp)	Total length (>= 25000 bp)	Total length (>= 50000 bp)	# contigs	Largest contig	Total length	Reference length	GC (%)	Reference GC (%)	N50	NG50	N75	NG75	L50	LG50	L75	LG75	# misassemblies	# misassembled contigs	Misassembled contigs length	# local misassemblies	# scaffold gap ext. mis.	# scaffold gap loc. mis.	# unaligned mis. contigs	# unaligned contigs	Unaligned length	Genome fraction (%)	Duplication ratio	# N's per 100 kbp	# mismatches per 100 kbp	# indels per 100 kbp	# genomic features	Complete BUSCO (%)	Partial BUSCO (%)	Largest alignment	Total aligned length	NA50	NGA50	NA75	NGA75	LA50	LGA50	LA75	LGA75
Ec_0-05_20_Ec3	NZ_CP027394.1 Escherichia coli O104:H4 strain FDAARGOS_349 chromosome, complete genome	18.763327189639554	456313	455967	0.9992417485366404	19.415827979994557	105414782	NA	98.6	0	5160	149	0.9797010518545857	not specified	v1.3.0-4-g0b5a6f8	2021-03-12 16:55:53.311451	535	164	91	69	47	31	5429322	5280449	5126550	4983567	4625026	4002904	255	300887	5345692	5277316	50.57	50.72	112004	114371	48530	51780	15	14	32	31	2	2	5842	0	0	0	3	37 + 19 part	158949	97.93	1.004	0	9.44	2.4	5160 + 149 part	98.65	0	300887	5185829	112004	114371	48530	51780	15	14	32	31
Ec_0-05_20_Ec4	NZ_CP022086.2 Escherichia coli O104:H4 strain FDAARGOS_348 chromosome, complete genome	19.06212029529671	452711	452514	0.9995648437965943	19.39981420538578	104582439	NA	98.6	0	5138	154	0.9792746113989638	not specified	v1.3.0-4-g0b5a6f8	2021-03-12 16:55:59.202620	409	168	103	75	57	32	5390899	5293728	5148720	4948696	4638260	3751271	237	269902	5341527	5256950	50.51	50.75	92306	92306	43859	47220	17	17	38	36	4	4	29966	1	0	0	2	11 + 13 part	175171	97.847	1.004	0	15.34	0.82	5138 + 154 part	98.65	0	269867	5164950	92306	92306	43107	43859	17	17	38	37
Ec_0-05_20_Ec5	NZ_CP027390.1 Escherichia coli strain 2015C-4944 chromosome, complete genome	19.35435726967942	493307	491689	0.9967200951942705	19.74858520293559	113968473	NA	98.6	0	5617	291	0.9510624597553123	not specified	v1.3.0-4-g0b5a6f8	2021-03-12 16:55:00.545183	927	281	116	94	63	29	5770969	5535377	5185726	5030614	4568856	3379398	422	267748	5634166	5802748	50.41	50.68	92100	91445	32464	29842	21	22	51	55	11	8	26758	2	0	0	5	50 + 16 part	120488	94.534	1.005	0	20.05	0.89	5617 + 291 part	98.65	0	267748	5509820	92098	91320	32464	29842	21	22	51	55
Ec_0-05_20_Ec6	NZ_CP027352.1 Escherichia coli strain 2012C-4606 chromosome, complete genome	19.318050681679832	475143	474786	0.9992486472493544	19.68422255966351	109771193	NA	98.6	0	5422	280	0.9527151211361737	not specified	v1.3.0-4-g0b5a6f8	2021-03-12 16:55:08.044563	834	243	103	81	60	32	5576608	5374165	5082435	4928215	4600971	3600065	347	244460	5444994	5647195	50.4	50.67	91631	82652	37120	35615	19	20	44	48	2	2	14793	1	0	0	4	9 + 12 part	76808	94.686	1.004	0	19.99	1.42	5422 + 280 part	98.65	0	244460	5367616	91631	82652	37120	35615	19	20	44	48
Ec_0-05_20_Ec7	NZ_CP018252.1 Escherichia coli strain 9000 chromosome, complete genome	19.245751498125585	466184	466026	0.999661078029276	19.633433098873983	107699747	NA	98.6	0	5216	274	0.946551724137931	not specified	v1.3.0-4-g0b5a6f8	2021-03-12 16:54:44.031607	762	221	119	92	64	37	5485528	5300585	5079316	4881162	4405037	3492474	315	210549	5364600	5516497	50.28	50.53	74416	70500	32852	29365	24	25	51	55	1	1	5161	0	0	0	3	16 + 10 part	104621	95.124	1.002	0	6	0.95	5216 + 274 part	98.65	0	210549	5259596	74416	70500	32852	29357	24	25	51	55
Ec_0-05_20_Ec8	NZ_CP027352.1 Escherichia coli strain 2012C-4606 chromosome, complete genome	19.090150113084512	476216	475856	0.9992440405194282	19.670199946219487	110017474	NA	98.6	0	5423	269	0.9510442773600668	not specified	v1.3.0-4-g0b5a6f8	2021-03-12 16:51:57.660292	825	247	112	87	63	35	5593104	5392378	5111060	4928854	4540809	3552876	356	213708	5467475	5647195	50.38	50.67	77427	71908	34457	33043	22	24	49	53	17	14	160118	3	0	0	5	13 + 9 part	87168	94.645	1.007	0	35.23	4.1	5423 + 269 part	98.65	0	213708	5375692	71908	70988	33727	32474	23	24	50	54
Ec_0-05_30_Ec1	NZ_CP027347.1 Escherichia coli strain 2013C-4361 chromosome, complete genome	18.967099101890906	447551	447375	0.9996067487280779	19.126576546413016	103397546	NA	98.6	0	5171	224	0.9603061587753648	not specified	v1.3.0-4-g0b5a6f8	2021-03-12 16:54:03.030949	722	237	116	92	63	33	5405962	5230773	4943773	4785789	4319217	3264559	332	227802	5298053	5317846	50.39	50.63	71835	65476	32129	32129	23	24	52	52	9	7	104887	1	0	0	5	42 + 22 part	181495	95.727	1.005	0	23	2.12	5171 + 224 part	98.65	0	227802	5114357	71835	65476	32129	32129	23	24	52	52
Ec_0-05_30_Ec2	NZ_CP027394.1 Escherichia coli O104:H4 strain FDAARGOS_349 chromosome, complete genome	18.557128532962516	452649	452328	0.9992908412478543	18.85570232113291	104567201	NA	98	0	5120	183	0.9785938365011995	not specified	v1.3.0-4-g0b5a6f8	2021-03-12 16:51:34.501180	595	250	132	98	65	38	5545654	5410851	5132651	4904856	4422234	3419573	334	156943	5470799	5277316	50.57	50.72	67349	67828	34172	38153	27	26	55	51	4	4	92349	10	0	0	3	52 + 31 part	264495	97.904	1.008	0	30.44	2.42	5120 + 183 part	97.97	0	156943	5201347	67349	67826	34172	37909	27	26	55	51
Ec_0-05_30_Ec3	NZ_CP027394.1 Escherichia coli O104:H4 strain FDAARGOS_349 chromosome, complete genome	18.594917305737944	456181	456042	0.9996952963845491	18.898280075985173	105383443	NA	98.6	0	5135	166	0.9782247647167374	not specified	v1.3.0-4-g0b5a6f8	2021-03-12 16:54:12.953303	641	249	115	81	54	29	5576351	5422472	5123865	4895294	4480838	3538537	343	270683	5489477	5277316	50.57	50.72	92091	95413	35573	41562	18	17	43	39	6	6	112036	3	0	0	9	64 + 37 part	276349	97.807	1.01	0	43.07	3.91	5135 + 166 part	98.65	0	270683	5210998	92091	95413	35573	41562	18	17	43	39
Ec_0-05_30_Ec4	NZ_CP022086.2 Escherichia coli O104:H4 strain FDAARGOS_348 chromosome, complete genome	18.95906033872411	452620	452547	0.9998387168043834	19.1317724384209	104562196	NA	98.6	0	5119	183	0.9811250925240562	not specified	v1.3.0-4-g0b5a6f8	2021-03-12 16:55:55.873064	499	210	114	81	51	30	5465369	5346051	5121882	4890301	4416317	3687104	298	301016	5407212	5256950	50.5	50.75	92306	99276	35369	38473	17	16	39	36	8	7	341297	5	0	0	2	30 + 20 part	225673	97.843	1.007	0	24.69	1.42	5119 + 183 part	98.65	0	301016	5178931	92306	92306	33579	34979	17	17	41	38
Ec_0-05_30_Ec5	NZ_CP027390.1 Escherichia coli strain 2015C-4944 chromosome, complete genome	19.26963907668669	493755	492606	0.9976729349576207	19.534539079377996	114075926	NA	98.6	0	5583	292	0.9457501609787508	not specified	v1.3.0-4-g0b5a6f8	2021-03-12 16:52:01.018596	882	320	117	88	61	31	5839704	5607228	5194657	4989790	4575102	3483211	494	267744	5731046	5802748	50.38	50.68	86252	86252	32464	31985	22	22	52	53	13	11	165189	1	0	0	6	111 + 19 part	220923	94.369	1.006	0	29.27	1.35	5583 + 292 part	98.65	0	267744	5506563	86252	86252	32464	31153	22	22	52	54
Ec_0-05_30_Ec6	NZ_CP027352.1 Escherichia coli strain 2012C-4606 chromosome, complete genome	19.12202125089497	475042	474857	0.9996105607504179	19.30710661550557	109746749	NA	98.6	0	5397	311	0.953717627401838	not specified	v1.3.0-4-g0b5a6f8	2021-03-12 16:50:35.987791	987	325	145	114	71	35	5684267	5447497	5042814	4819253	4164342	2920857	455	180909	5539810	5647195	50.34	50.67	51337	50547	25604	23570	33	34	71	74	13	12	51272	3	0	0	15	10 + 34 part	138536	94.649	1.011	0	48.72	3.01	5397 + 311 part	98.65	0	180909	5397208	51337	50547	25588	23570	33	34	71	74
Ec_0-05_30_Ec7	NZ_CP018252.1 Escherichia coli strain 9000 chromosome, complete genome	18.924133583078582	465716	465552	0.999647854056979	19.085709435410156	107592805	NA	98.6	0	5079	378	0.9408620689655173	not specified	v1.3.0-4-g0b5a6f8	2021-03-12 16:55:29.895631	1201	394	225	163	79	12	5637349	5381827	4960524	4509563	3077805	779218	491	77522	5448161	5516497	50.28	50.53	27708	27669	15180	14947	66	67	130	133	7	7	58111	5	0	0	3	16 + 20 part	171645	94.934	1.008	0	25.51	3.36	5079 + 378 part	98.65	0	77522	5274790	27708	27669	14947	14374	66	67	131	134
Ec_0-05_30_Ec8	NZ_CP027352.1 Escherichia coli strain 2012C-4606 chromosome, complete genome	18.888351277603768	476086	475833	0.9994685834071996	19.108969221523825	109988800	NA	98	0	5382	319	0.952548036758563	not specified	v1.3.0-4-g0b5a6f8	2021-03-12 16:55:49.570871	1011	337	150	110	68	30	5755873	5517087	5095548	4791860	4128407	2873379	463	164520	5606404	5647195	50.31	50.67	57399	54964	21839	20834	29	30	72	73	10	9	20035	6	0	0	11	29 + 27 part	202702	94.64	1.011	0	47.34	5.24	5382 + 319 part	97.97	0	164520	5400564	57399	54964	21839	20834	29	30	72	73
Ec_0-05_40_Ec1	NZ_CP027347.1 Escherichia coli strain 2013C-4361 chromosome, complete genome	18.90702411355253	447579	447503	0.9998301975740596	18.99641163796271	103400356	NA	98	0	5166	227	0.9599501601993592	not specified	v1.3.0-4-g0b5a6f8	2021-03-12 16:55:33.133459	754	265	136	101	68	32	5443152	5264676	4976281	4741234	4214297	2954723	368	209042	5337669	5317846	50.4	50.63	62153	62153	28646	29133	27	27	61	60	13	12	208378	3	0	0	8	37 + 32 part	198802	95.775	1.009	0	41.23	3.44	5166 + 227 part	97.97	0.68	209042	5136442	55782	55782	28646	29133	28	28	62	61
Ec_0-05_40_Ec2	NZ_CP027394.1 Escherichia coli O104:H4 strain FDAARGOS_349 chromosome, complete genome	18.418500500370442	452536	452389	0.9996751639648558	18.557598092078344	104541538	NA	98.6	0	5059	244	0.9785938365011995	not specified	v1.3.0-4-g0b5a6f8	2021-03-12 16:55:58.958018	750	313	159	107	69	31	5633355	5473247	5089287	4709542	4149007	2773655	401	185514	5535025	5277316	50.57	50.72	51073	55757	24877	30100	31	29	70	62	11	9	87077	8	0	0	8	50 + 38 part	319691	97.662	1.012	0	58.09	3.71	5059 + 244 part	98.65	0	185514	5212216	50961	53517	21370	28713	31	29	70	63
Ec_0-05_40_Ec3	NZ_CP027394.1 Escherichia coli O104:H4 strain FDAARGOS_349 chromosome, complete genome	18.54845281498162	456354	456272	0.9998203149309527	18.66540730042905	105423695	NA	98.6	0	5128	185	0.9804391954235099	not specified	v1.3.0-4-g0b5a6f8	2021-03-12 16:52:08.630935	663	268	141	99	68	38	5648079	5494793	5201661	4914416	4420097	3356429	360	197210	5562161	5277316	50.58	50.72	67425	72949	30052	35113	29	27	59	53	8	8	276578	3	0	0	13	49 + 43 part	329366	97.956	1.012	0	54.82	4.64	5128 + 185 part	98.65	0	197197	5231146	66891	72301	29402	34363	29	27	60	54
Ec_0-05_40_Ec4	NZ_CP022086.2 Escherichia coli O104:H4 strain FDAARGOS_348 chromosome, complete genome	18.861175350317197	452395	452337	0.9998717934548348	18.972316056389573	104509686	NA	98.6	0	5058	207	0.9742783123612139	not specified	v1.3.0-4-g0b5a6f8	2021-03-12 16:55:07.939478	586	237	117	84	55	32	5508536	5364883	5080047	4862412	4421889	3596540	335	301016	5436535	5256950	50.5	50.75	86440	91468	34643	38350	19	18	44	40	7	7	254443	8	0	0	5	20 + 24 part	246113	97.618	1.011	0	46.59	2.14	5058 + 207 part	98.65	0	301016	5188761	85068	86440	30852	34532	19	18	47	43
Ec_0-05_40_Ec5	NZ_CP027390.1 Escherichia coli strain 2015C-4944 chromosome, complete genome	18.745619174609555	496928	496682	0.9995049584648078	18.85291003848697	114806549	NA	98.6	0	5473	434	0.9509014810045074	not specified	v1.3.0-4-g0b5a6f8	2021-03-12 16:55:35.667228	1584	539	220	158	69	21	6089593	5716383	5012669	4562600	3177748	1503100	752	106235	5869860	5802748	50.37	50.68	27430	27570	11580	11839	60	59	143	139	21	14	76646	5	0	0	12	111 + 40 part	297195	94.498	1.016	0	71.2	3.76	5473 + 434 part	98.65	0	106235	5564404	27430	27570	11146	11634	60	59	144	140
Ec_0-05_40_Ec6	NZ_CP027352.1 Escherichia coli strain 2012C-4606 chromosome, complete genome	19.01288379601783	475021	474865	0.9996715934663941	19.10793896104371	109742301	NA	98	0	5331	361	0.9510442773600668	not specified	v1.3.0-4-g0b5a6f8	2021-03-12 16:55:20.378392	1115	381	182	142	80	19	5743283	5483545	5041000	4756688	3769272	1605698	526	190094	5584648	5647195	50.32	50.67	35480	35122	17676	16636	47	48	100	102	20	19	73382	6	0	0	14	6 + 44 part	162016	94.629	1.015	0	73.82	4.88	5331 + 361 part	97.97	0	190094	5417761	35480	35122	17176	16624	47	48	100	103
Ec_0-05_40_Ec7	NZ_CP018252.1 Escherichia coli strain 9000 chromosome, complete genome	18.673260163690593	465855	465718	0.9997059170772021	18.77959892400544	107623703	NA	95.3	0	4974	503	0.9443103448275862	not specified	v1.3.0-4-g0b5a6f8	2021-03-12 16:52:07.644863	1626	552	308	200	41	6	5730884	5392948	4742976	3961113	1468316	341916	664	65231	5475904	5516497	50.26	50.53	16527	16390	9279	8742	106	107	216	219	7	7	77430	5	0	0	4	10 + 23 part	190243	94.913	1.01	0	31.55	8.04	4974 + 503 part	95.27	0	65231	5283523	16246	15957	8176	7861	107	108	222	226
Ec_0-05_40_Ec8	NZ_CP027352.1 Escherichia coli strain 2012C-4606 chromosome, complete genome	18.70955403112773	476150	476041	0.999771080541846	18.79056221095505	109999519	NA	98.6	0	5326	375	0.952548036758563	not specified	v1.3.0-4-g0b5a6f8	2021-03-12 16:55:51.399736	1181	393	186	136	73	29	5853977	5565737	5098792	4757514	3766371	2257173	562	130804	5684475	5647195	50.31	50.67	37609	37609	17746	17922	42	42	97	96	24	22	238813	17	0	0	10	23 + 33 part	240349	94.666	1.018	0	85.84	7.89	5326 + 375 part	98.65	0	130804	5434864	37591	37609	15300	16624	43	42	99	97
Ec_0-05_50_Ec1	NZ_CP027347.1 Escherichia coli strain 2013C-4361 chromosome, complete genome	18.870398504642665	447760	447698	0.9998615329640879	18.96373929087105	103441357	NA	98	0	5128	254	0.9579921680313279	not specified	v1.3.0-4-g0b5a6f8	2021-03-12 16:55:56.877217	812	285	146	112	72	28	5454692	5266324	4934422	4710248	4043364	2465424	388	150879	5340585	5317846	50.39	50.63	45448	45448	25350	25558	33	33	71	70	12	10	81091	6	0	0	5	32 + 27 part	202944	95.553	1.011	0	56.78	5.77	5128 + 254 part	97.97	0.68	150879	5134465	45448	45448	24800	24990	33	33	72	71
Ec_0-05_50_Ec2	NZ_CP027394.1 Escherichia coli O104:H4 strain FDAARGOS_349 chromosome, complete genome	18.452616463504576	452728	452583	0.999679719390009	18.546180062175033	104586379	NA	98.6	0	5066	230	0.9773020852555823	not specified	v1.3.0-4-g0b5a6f8	2021-03-12 16:50:31.017828	730	304	168	121	76	33	5639241	5478435	5150669	4817781	4138268	2687451	404	147057	5548268	5277316	50.57	50.72	49224	50831	24220	26291	35	33	77	69	16	14	119378	7	0	0	13	47 + 37 part	328818	97.795	1.011	0	58.81	3.97	5066 + 230 part	98.65	0	143556	5215723	46768	50831	21337	25775	36	33	79	71
Ec_0-05_50_Ec3	NZ_HF572917.1 Escherichia coli strain HUSEC2011 chromosome, complete genome	18.52809708665349	456313	456262	0.999888234610892	18.632157977895382	105412384	NA	98.6	0	5098	201	0.9796635237567018	not specified	v1.3.0-4-g0b5a6f8	2021-03-12 16:53:49.555605	646	272	133	95	61	31	5657551	5505217	5172570	4911520	4392158	3299159	369	270522	5577200	5277676	50.58	50.72	76101	78793	30621	35782	23	22	54	47	15	12	441992	11	0	0	13	43 + 38 part	337404	97.764	1.016	0	69.23	4.88	5098 + 201 part	98.65	0	269634	5236797	72301	76101	29403	35782	24	22	55	48
Ec_0-05_50_Ec4	NZ_CP022086.2 Escherichia coli O104:H4 strain FDAARGOS_348 chromosome, complete genome	18.843122915771005	452391	452334	0.9998740027984642	18.95587015792956	104510233	NA	98.6	0	5022	227	0.9713175425610658	not specified	v1.3.0-4-g0b5a6f8	2021-03-12 16:52:42.168253	638	284	130	84	50	33	5513344	5370196	5040941	4731889	4176642	3592347	379	225120	5438253	5256950	50.5	50.75	91468	92549	25982	34532	21	20	47	42	11	11	458168	12	0	0	7	25 + 24 part	243837	97.454	1.014	0	53.7	2.09	5022 + 227 part	98.65	0	221455	5190084	86314	87076	25469	31261	22	21	50	45
Ec_0-05_50_Ec5	NZ_CP027390.1 Escherichia coli strain 2015C-4944 chromosome, complete genome	18.66962662019491	498608	498452	0.9996871289670443	18.751642268191425	115200433	NA	97.3	0	5373	516	0.9480038634900193	not specified	v1.3.0-4-g0b5a6f8	2021-03-12 16:54:06.080560	1743	664	252	171	66	12	6143485	5745859	4813470	4260084	2579922	728618	905	95442	5920844	5802748	50.38	50.68	21945	22873	8177	8880	83	80	192	181	21	17	80671	8	0	0	18	110 + 45 part	318591	94.41	1.023	0	79	4.47	5373 + 516 part	97.3	0.68	95442	5593700	21945	22599	7440	8428	83	81	195	184
Ec_0-05_50_Ec6	NZ_CP027352.1 Escherichia coli strain 2012C-4606 chromosome, complete genome	19.032582718017565	475121	474921	0.9995790545987233	19.121302946145455	109762283	NA	98	0	5288	368	0.9450292397660819	not specified	v1.3.0-4-g0b5a6f8	2021-03-12 16:54:48.755971	1091	408	199	151	74	27	5740314	5502885	5025529	4686649	3432567	1843823	536	142200	5594065	5647195	50.33	50.67	31006	30941	15360	14994	52	53	112	115	33	30	335228	20	0	0	12	4 + 39 part	168477	94.484	1.017	0	95.68	7.29	5288 + 368 part	97.97	0	142200	5418895	30820	30640	14578	13982	52	53	115	118
Ec_0-05_50_Ec7	NZ_CP018252.1 Escherichia coli strain 9000 chromosome, complete genome	18.597146803374997	465605	465496	0.9997658959847939	18.717776244882163	107562974	NA	93.9	0	4885	564	0.9394827586206896	not specified	v1.3.0-4-g0b5a6f8	2021-03-12 16:50:28.024419	1751	594	315	191	37	3	5746568	5380709	4653395	3738397	1318236	189809	718	68413	5466500	5516497	50.25	50.53	15786	15329	8298	8181	111	113	232	237	17	16	154688	10	0	0	4	11 + 28 part	196562	94.519	1.011	0	41.37	12.16	4885 + 564 part	93.92	1.35	60740	5267494	15015	14998	7464	7279	115	116	244	249
Ec_0-05_50_Ec8	NZ_CP027352.1 Escherichia coli strain 2012C-4606 chromosome, complete genome	18.660094193176743	476055	475993	0.9998697629475586	18.73261830697533	109979558	NA	98.6	0	5293	396	0.9505430242272348	not specified	v1.3.0-4-g0b5a6f8	2021-03-12 16:55:18.927001	1238	426	191	146	76	24	5871019	5576232	5060348	4735979	3632845	1810926	589	158668	5693003	5647195	50.29	50.67	33717	33735	15564	16009	50	49	109	107	33	28	300658	14	0	0	19	9 + 37 part	251532	94.4	1.021	0	108.82	9.64	5293 + 396 part	98.65	0	158668	5434352	33117	33481	12652	13027	51	50	116	113
Ec_0-5_10_Ec1	NZ_CP027347.1 Escherichia coli strain 2013C-4361 chromosome, complete genome	18.705373524160393	445586	444174	0.9968311392189162	19.495199734708475	102939119	NA	98.6	0	5190	215	0.9620861516553934	not specified	v1.3.0-4-g0b5a6f8	2021-03-12 16:55:43.701396	663	174	93	77	55	30	5280229	5105302	4919690	4815274	4472673	3542549	269	316190	5169425	5317846	50.44	50.63	92516	89225	41519	39931	17	18	38	41	1	1	68309	2	0	0	1	6 + 8 part	62128	95.846	1.002	0	9.69	0.78	5190 + 215 part	98.65	0	316190	5106273	92516	89225	41519	39931	17	18	38	41
