strain	depth_x	Number.of.scaffolds	Total.scaffold.length	Average.scaffold.length	Scaffold.N50	Scaffold.auN	Scaffold.L50	Largest.scaffold	Smallest.scaffold	Number.of.contigs	Total.contig.length	Average.contig.length	Contig.N50	Contig.auN	Contig.L50	Largest.contig	Smallest.contig	Number.of.gaps.in.scaffolds	Total.gap.length.in.scaffolds	Average.gap.length.in.scaffolds	Gap.N50.in.scaffolds	Gap.auN.in.scaffolds	Gap.L50.in.scaffolds	Largest.gap.in.scaffolds	Smallest.gap.in.scaffolds	Base.composition..A.C.G.T.	GC.content..	Number.of.soft.masked.bases	Number.of.segments	Total.segment.length	Average.segment.length	Number.of.gaps	Number.of.paths	Number.of.edges	Average.degree	Number.of.connected.components	Largest.connected.component.length	Number.of.dead.ends	Number.of.disconnected.components	Total.length.disconnected.components	Number.of.separated.components	Number.of.bubbles	Number.of.circular.segments	Number.of.circular.paths	depth	depth_category
24-SA01372-0	20x	5	4637128	927425.6	4627804	4618505.34	1	4627804	1059	5	4637128	927425.6	4627804	4618505.34	1	4627804	1059	0	0	0	0	0	0	0	0	1107066:1208192:1210458:1111412	52.16	0	5	4637128	927425.6	0	5	7	1.4	3	4627804	2	1	2308	4	1	3	3	20	20
24-SA01372-0	30x	6	4646883	774480.5	4627795	4608803	1	4627795	2297	6	4646883	774480.5	4627795	4608803	1	4627795	2297	0	0	0	0	0	0	0	0	1114060:1212604:1210944:1109275	52.15	0	6	4646883	774480.5	0	6	5	0.83	4	4627795	4	2	4595	6	0	4	4	30	30
24-SA01372-0	40x	5	4658456	931691.2	4627796	4597395.28	1	4627796	4200	5	4658456	931691.2	4627796	4597395.28	1	4627796	4200	0	0	0	0	0	0	0	0	1111833:1214467:1215507:1116649	52.16	0	5	4658456	931691.2	0	5	5	1	4	4627796	2	1	4200	5	0	4	4	40	>30
24-SA01372-0	50x	5	4659017	931803.4	4627795	4596855.56	1	4627795	4626	5	4659017	931803.4	4627795	4596855.56	1	4627795	4626	0	0	0	0	0	0	0	0	1112340:1213940:1216331:1116406	52.16	0	5	4659017	931803.4	0	5	6	1.2	5	4627795	0	0	0	5	0	5	5	50	>30
24-SA01372-0	60x	6	4648059	774676.5	4627794	4607644.82	1	4627794	530	6	4648059	774676.5	4627794	4607644.82	1	4627794	530	0	0	0	0	0	0	0	0	1110272:1211212:1212508:1114067	52.14	0	6	4648059	774676.5	0	6	8	1.33	4	4627794	2	1	3828	5	1	4	4	60	>30
24-SA01372-0	70x	5	4654116	930823.2	4627795	4601666.58	1	4627795	4626	5	4654116	930823.2	4627795	4601666.58	1	4627795	4626	0	0	0	0	0	0	0	0	1115721:1214747:1212937:1110711	52.16	0	5	4654116	930823.2	0	5	6	1.2	5	4627795	0	0	0	5	0	5	5	70	>30
24-SA01372-0	80x	4	4659338	1164834.5	4627796	4596551.39	1	4627796	5638	4	4659338	1164834.5	4627796	4596551.39	1	4627796	5638	0	0	0	0	0	0	0	0	1112253:1213893:1216935:1116257	52.17	0	4	4659338	1164834.5	0	4	5	1.25	4	4627796	0	0	0	4	0	4	4	80	>30
24-SA01372-0	90x	5	4651694	930338.8	4627795	4604061.42	1	4627795	2342	5	4651694	930338.8	4627795	4604061.42	1	4627795	2342	0	0	0	0	0	0	0	0	1115031:1214388:1211982:1110293	52.16	0	5	4651694	930338.8	0	5	6	1.2	5	4627795	0	0	0	5	0	5	5	90	>30
24-SA01400-0	100x	13	5448627	419125.15	4772146	4193136.95	1	4772146	2475	25	5448627	217945.08	4684784	4035457.38	1	4684784	2475	0	0	0	0	0	0	0	0	1324001:1399871:1404331:1320424	51.47	0	16	5103220	318951.25	0	13	17	1.06	6	4728465	9	4	24266	10	5	5	6	100	>30
24-SA01400-0	10x	17	5012231	294837.12	3415513	2674933.51	1	3415513	1278	19	5012231	263801.63	3415513	2674922.74	1	3415513	820	0	0	0	0	0	0	0	0	1201165:1265325:1326917:1218824	51.72	0	19	5012231	263801.63	0	17	13	0.68	4	104616	20	9	4754798	13	0	3	3	10	10
24-SA01400-0	150x	11	5126206	466018.73	4755018	4416949.33	1	4755018	1727	15	5126206	341747.07	4755018	4415164	1	4755018	1727	0	0	0	0	0	0	0	0	1238283:1325070:1325763:1237090	51.71	0	12	5071959	422663.25	0	11	14	1.17	5	4755018	5	2	3454	7	4	4	4	150	>30
24-SA01400-0	20x	12	5091444	424287	4771858	4476227.34	1	4771858	1727	16	5091444	318215.25	4684792	4314991.57	1	4684792	1727	0	0	0	0	0	0	0	0	1229360:1315727:1319199:1227158	51.75	0	14	5004378	357455.57	0	12	16	1.14	6	4728325	5	2	3454	8	4	5	6	20	20
24-SA01400-0	30x	15	5218410	347894	4771879	4369100.57	1	4771879	1727	21	5218410	248495.71	4684769	4210756.56	1	4684769	1727	0	0	0	0	0	0	0	0	1264251:1345460:1350645:1258054	51.67	0	17	5052422	297201.29	0	15	19	1.12	6	4728324	9	4	49282	10	1	5	6	30	30
24-SA01400-0	40x	8	5180370	647546.25	4772170	4402949.4	1	4772170	3397	13	5180370	398490	4684764	4243033.82	1	4684764	3397	0	0	0	0	0	0	0	0	1252929:1337014:1341654:1248773	51.71	0	10	5080171	508017.1	0	8	13	1.3	6	4728467	1	0	0	6	1	5	6	40	>30
24-SA01400-0	50x	11	5384361	489487.36	4772155	4241352.24	1	4772155	1727	21	5384361	256398.14	4684787	4082828.42	1	4684787	1727	0	0	0	0	0	0	0	0	1303722:1387178:1384830:1308631	51.48	0	12	5080398	423366.5	0	11	13	1.08	6	4728471	5	2	3454	8	5	5	6	50	>30
24-SA01400-0	60x	9	5118066	568674	4766265	4443968.21	1	4766265	1727	11	5118066	465278.73	4684777	4294140.84	1	4684777	1727	0	0	0	0	0	0	0	0	1233713:1324941:1322881:1236531	51.73	0	9	5036578	559619.78	0	9	9	1	6	4725521	4	2	3454	8	1	6	7	60	>30
24-SA01400-0	70x	13	5213448	401034.46	4766282	4363870.35	1	4766282	1727	17	5213448	306673.41	4684764	4215724.85	1	4684764	1727	0	0	0	0	0	0	0	0	1257624:1349220:1344999:1261605	51.68	0	13	5035588	387352.92	0	13	11	0.85	6	4725523	9	4	10291	10	2	5	6	70	>30
24-SA01400-0	80x	9	5308810	589867.78	4772081	4301570.27	1	4772081	3398	15	5308810	353920.67	4684763	4142425.98	1	4684763	3397	0	0	0	0	0	0	0	0	1284084:1369793:1371320:1283613	51.63	0	11	5043890	458535.45	0	9	14	1.27	6	4728422	1	0	0	6	1	5	6	80	>30
24-SA01400-0	90x	13	5218112	401393.23	4772145	4371255.99	1	4772145	1727	19	5218112	274637.47	4684783	4211516.13	1	4684783	1727	0	0	0	0	0	0	0	0	1264235:1344599:1351813:1257465	51.67	0	14	5064810	361772.14	0	13	17	1.21	6	4728464	5	2	3454	8	5	5	6	90	>30
24-SA01416-0	100x	4	5031692	1257923	4808231	4599330.68	1	4808231	9464	4	5031692	1257923	4808231	4599330.68	1	4808231	9464	0	0	0	0	0	0	0	0	1204622:1311053:1312374:1203643	52.14	0	4	5031692	1257923	0	4	5	1.25	4	4808231	0	0	0	4	0	4	4	100	>30
24-SA01416-0	10x	5	5030399	1006079.8	4342659	3796299.57	1	4342659	10106	5	5030399	1006079.8	4342659	3796299.57	1	4342659	10106	0	0	0	0	0	0	0	0	1202548:1308891:1313928:1205032	52.14	0	5	5030399	1006079.8	0	5	3	0.6	3	120204	4	2	4806170	5	0	3	3	10	10
24-SA01416-0	150x	4	5025582	1256395.5	4808230	4604904.95	1	4808230	3355	4	5025582	1256395.5	4808230	4604904.95	1	4808230	3355	0	0	0	0	0	0	0	0	1200687:1309766:1310285:1204844	52.13	0	4	5025582	1256395.5	0	4	5	1.25	4	4808230	0	0	0	4	0	4	4	150	>30
24-SA01416-0	200x	8	5051008	631376	4808229	4581718.46	1	4808229	857	8	5051008	631376	4808229	4581718.46	1	4808229	857	0	0	0	0	0	0	0	0	1207925:1318250:1315524:1209309	52.14	0	8	5051008	631376	0	8	8	1	4	4808229	6	3	23869	7	1	4	4	200	>30
24-SA01416-0	20x	8	5049113	631139.13	4808233	4583511.11	1	4808233	554	8	5049113	631139.13	4808233	4583511.11	1	4808233	554	0	0	0	0	0	0	0	0	1209534:1319157:1313524:1206898	52.14	0	8	5049113	631139.13	0	8	11	1.38	4	4808233	4	2	24123	6	0	4	4	20	20
24-SA01416-0	30x	6	5053867	842311.17	4808230	4579260.6	1	4808230	820	6	5053867	842311.17	4808230	4579260.6	1	4808230	820	0	0	0	0	0	0	0	0	1209703:1317598:1318074:1208492	52.15	0	6	5053867	842311.17	0	6	6	1	4	4808230	4	2	2403	6	0	4	4	30	30
24-SA01416-0	40x	4	5038672	1259668	4808231	4592982.23	1	4808231	16760	4	5038672	1259668	4808231	4592982.23	1	4808231	16760	0	0	0	0	0	0	0	0	1207395:1315264:1312078:1203935	52.14	0	4	5038672	1259668	0	4	5	1.25	4	4808231	0	0	0	4	0	4	4	40	>30
24-SA01416-0	50x	6	5027788	837964.67	4808233	4602890.45	1	4808233	1022	6	5027788	837964.67	4808233	4602890.45	1	4808233	1022	0	0	0	0	0	0	0	0	1203179:1311675:1309632:1203302	52.14	0	6	5027788	837964.67	0	6	6	1	4	4808233	4	2	3405	6	0	4	4	50	>30
24-SA01416-0	60x	4	5025566	1256391.5	4808229	4604918.33	1	4808229	3326	4	5025566	1256391.5	4808229	4604918.33	1	4808229	3326	0	0	0	0	0	0	0	0	1200795:1309526:1310512:1204733	52.13	0	4	5025566	1256391.5	0	4	6	1.5	4	4808229	0	0	0	4	0	4	4	60	>30
24-SA01416-0	70x	4	5031433	1257858.25	4808229	4599564.15	1	4808229	9173	4	5031433	1257858.25	4808229	4599564.15	1	4808229	9173	0	0	0	0	0	0	0	0	1203250:1312956:1310312:1204915	52.14	0	4	5031433	1257858.25	0	4	5	1.25	4	4808229	0	0	0	4	0	4	4	70	>30
24-SA01416-0	80x	4	5034389	1258597.25	4808228	4596872.79	1	4808228	12160	4	5034389	1258597.25	4808228	4596872.79	1	4808228	12160	0	0	0	0	0	0	0	0	1204946:1311259:1313692:1204492	52.14	0	4	5034389	1258597.25	0	4	5	1.25	4	4808228	0	0	0	4	0	4	4	80	>30
24-SA01416-0	90x	4	5025576	1256394	4808232	4604913.33	1	4808232	3373	4	5025576	1256394	4808232	4604913.33	1	4808232	3373	0	0	0	0	0	0	0	0	1202663:1309355:1310690:1202868	52.13	0	4	5025576	1256394	0	4	7	1.75	4	4808232	0	0	0	4	0	4	4	90	>30
24-SA01421-0	100x	2	4814724	2407362	4755418	4697573.02	1	4755418	59306	2	4814724	2407362	4755418	4697573.02	1	4755418	59306	0	0	0	0	0	0	0	0	1153699:1255230:1252587:1153208	52.09	0	2	4814724	2407362	0	2	3	1.5	2	4755418	0	0	0	2	0	2	2	100	>30
24-SA01421-0	10x	2	4814851	2407425.5	4755543	4697696.08	1	4755543	59308	2	4814851	2407425.5	4755543	4697696.08	1	4755543	59308	0	0	0	0	0	0	0	0	1153184:1252868:1255050:1153749	52.09	0	2	4814851	2407425.5	0	2	3	1.5	2	4755543	0	0	0	2	0	2	2	10	10
24-SA01421-0	150x	2	4814725	2407362.5	4755419	4697574.02	1	4755419	59306	2	4814725	2407362.5	4755419	4697574.02	1	4755419	59306	0	0	0	0	0	0	0	0	1153207:1252587:1255232:1153699	52.09	0	2	4814725	2407362.5	0	2	3	1.5	2	4755419	0	0	0	2	0	2	2	150	>30
24-SA01421-0	20x	2	4814732	2407366	4755426	4697581.02	1	4755426	59306	2	4814732	2407366	4755426	4697581.02	1	4755426	59306	0	0	0	0	0	0	0	0	1153708:1255226:1252580:1153218	52.09	0	2	4814732	2407366	0	2	3	1.5	2	4755426	0	0	0	2	0	2	2	20	20
24-SA01421-0	30x	2	4814727	2407363.5	4755421	4697576.02	1	4755421	59306	2	4814727	2407363.5	4755421	4697576.02	1	4755421	59306	0	0	0	0	0	0	0	0	1153181:1252824:1254989:1153733	52.09	0	2	4814727	2407363.5	0	2	3	1.5	2	4755421	0	0	0	2	0	2	2	30	30
24-SA01421-0	40x	2	4814729	2407364.5	4755423	4697578.02	1	4755423	59306	2	4814729	2407364.5	4755423	4697578.02	1	4755423	59306	0	0	0	0	0	0	0	0	1153209:1252587:1255232:1153701	52.09	0	2	4814729	2407364.5	0	2	3	1.5	2	4755423	0	0	0	2	0	2	2	40	>30
24-SA01421-0	50x	2	4814727	2407363.5	4755421	4697576.02	1	4755421	59306	2	4814727	2407363.5	4755421	4697576.02	1	4755421	59306	0	0	0	0	0	0	0	0	1153731:1254994:1252824:1153178	52.09	0	2	4814727	2407363.5	0	2	3	1.5	2	4755421	0	0	0	2	0	2	2	50	>30
24-SA01421-0	60x	2	4873835	2436917.5	4755423	4642764.74	1	4755423	118412	2	4873835	2436917.5	4755423	4642764.74	1	4755423	118412	0	0	0	0	0	0	0	0	1167339:1268322:1270250:1167924	52.09	0	2	4873835	2436917.5	0	2	3	1.5	2	4755423	0	0	0	2	0	2	2	60	>30
24-SA01421-0	70x	2	4814726	2407363	4755420	4697575.02	1	4755420	59306	2	4814726	2407363	4755420	4697575.02	1	4755420	59306	0	0	0	0	0	0	0	0	1153699:1255230:1252587:1153210	52.09	0	2	4814726	2407363	0	2	3	1.5	2	4755420	0	0	0	2	0	2	2	70	>30
24-SA01421-0	80x	2	4814725	2407362.5	4755419	4697574.02	1	4755419	59306	2	4814725	2407362.5	4755419	4697574.02	1	4755419	59306	0	0	0	0	0	0	0	0	1153730:1254990:1252826:1153179	52.09	0	2	4814725	2407362.5	0	2	3	1.5	2	4755419	0	0	0	2	0	2	2	80	>30
24-SA01421-0	90x	4	4816016	1204004	4755421	4696179.66	1	4755421	1240	4	4816016	1204004	4755421	4696179.66	1	4755421	1240	0	0	0	0	0	0	0	0	1153500:1253159:1255382:1153975	52.09	0	4	4816016	1204004	0	4	4	1	2	4755421	4	2	7632	4	0	2	2	90	>30
24-SA01423-0	100x	2	4874741	2437370.5	4813191	4753195.3	1	4813191	61550	2	4874741	2437370.5	4813191	4753195.3	1	4813191	61550	0	0	0	0	0	0	0	0	1167371:1269112:1271222:1167036	52.11	0	2	4874741	2437370.5	0	2	3	1.5	2	4813191	0	0	0	2	0	2	2	100	>30
24-SA01423-0	10x	5	4878069	975613.8	2508099	1879586.29	1	2508099	61550	5	4878069	975613.8	2508099	1879586.29	1	2508099	61550	0	0	0	0	0	0	0	0	1168763:1264472:1276996:1167838	52.1	0	5	4878069	975613.8	0	5	1	0.2	1	61550	8	4	4816519	5	0	1	1	10	10
24-SA01423-0	150x	2	4874738	2437369	4813188	4753192.3	1	4813188	61550	2	4874738	2437369	4813188	4753192.3	1	4813188	61550	0	0	0	0	0	0	0	0	1167759:1269167:1271164:1166648	52.11	0	2	4874738	2437369	0	2	3	1.5	2	4813188	0	0	0	2	0	2	2	150	>30
24-SA01423-0	200x	2	4874738	2437369	4813188	4753192.3	1	4813188	61550	2	4874738	2437369	4813188	4753192.3	1	4813188	61550	0	0	0	0	0	0	0	0	1167037:1271221:1269111:1167369	52.11	0	2	4874738	2437369	0	2	3	1.5	2	4813188	0	0	0	2	0	2	2	200	>30
24-SA01423-0	20x	2	4874746	2437373	4813196	4753200.3	1	4813196	61550	2	4874746	2437373	4813196	4753200.3	1	4813196	61550	0	0	0	0	0	0	0	0	1167373:1269112:1271223:1167038	52.11	0	2	4874746	2437373	0	2	3	1.5	2	4813196	0	0	0	2	0	2	2	20	20
24-SA01423-0	30x	2	4874742	2437371	4813192	4753196.3	1	4813192	61550	2	4874742	2437371	4813192	4753196.3	1	4813192	61550	0	0	0	0	0	0	0	0	1167760:1269169:1271166:1166647	52.11	0	2	4874742	2437371	0	2	3	1.5	2	4813192	0	0	0	2	0	2	2	30	30
24-SA01423-0	40x	2	4874738	2437369	4813188	4753192.3	1	4813188	61550	2	4874738	2437369	4813188	4753192.3	1	4813188	61550	0	0	0	0	0	0	0	0	1166649:1271163:1269168:1167758	52.11	0	2	4874738	2437369	0	2	3	1.5	2	4813188	0	0	0	2	0	2	2	40	>30
24-SA01423-0	50x	2	4874741	2437370.5	4813191	4753195.3	1	4813191	61550	2	4874741	2437370.5	4813191	4753195.3	1	4813191	61550	0	0	0	0	0	0	0	0	1167036:1271222:1269112:1167371	52.11	0	2	4874741	2437370.5	0	2	3	1.5	2	4813191	0	0	0	2	0	2	2	50	>30
24-SA01423-0	60x	2	4874743	2437371.5	4813193	4753197.3	1	4813193	61550	2	4874743	2437371.5	4813193	4753197.3	1	4813193	61550	0	0	0	0	0	0	0	0	1167760:1269169:1271166:1166648	52.11	0	2	4874743	2437371.5	0	2	3	1.5	2	4813193	0	0	0	2	0	2	2	60	>30
24-SA01423-0	70x	4	4886626	1221656.5	4813190	4741539.75	1	4813190	5153	4	4886626	1221656.5	4813190	4741539.75	1	4813190	5153	0	0	0	0	0	0	0	0	1170707:1271422:1274021:1170476	52.09	0	4	4886626	1221656.5	0	4	4	1	2	4813190	4	2	17208	4	0	2	2	70	>30
24-SA01423-0	80x	2	4874737	2437368.5	4813187	4753191.3	1	4813187	61550	2	4874737	2437368.5	4813187	4753191.3	1	4813187	61550	0	0	0	0	0	0	0	0	1167036:1271221:1269111:1167369	52.11	0	2	4874737	2437368.5	0	2	3	1.5	2	4813187	0	0	0	2	0	2	2	80	>30
24-SA01423-0	90x	2	4874740	2437370	4813190	4753194.3	1	4813190	61550	2	4874740	2437370	4813190	4753194.3	1	4813190	61550	0	0	0	0	0	0	0	0	1167036:1271222:1269112:1167370	52.11	0	2	4874740	2437370	0	2	3	1.5	2	4813190	0	0	0	2	0	2	2	90	>30
24-SA01427-0	100x	5	4788588	957717.6	4725104	4663086.79	1	4725104	721	5	4788588	957717.6	4725104	4663086.79	1	4725104	721	0	0	0	0	0	0	0	0	1145151:1245608:1251301:1146528	52.14	0	5	4788588	957717.6	0	5	5	1	3	4725104	4	2	5723	5	0	3	3	100	>30
24-SA01427-0	10x	11	4784458	434950.73	1050308	970652.35	2	1603921	3386	11	4784458	434950.73	1050308	970652.35	2	1603921	3386	0	0	0	0	0	0	0	0	1146394:1251759:1243214:1143091	52.15	0	11	4784458	434950.73	0	11	5	0.45	3	1034498	15	7	3687197	10	0	2	2	10	10
24-SA01427-0	150x	3	4787865	1595955	4725103	4663902.46	1	4725103	3386	3	4787865	1595955	4725103	4663902.46	1	4725103	3386	0	0	0	0	0	0	0	0	1144832:1245590:1250961:1146482	52.14	0	3	4787865	1595955	0	3	4	1.33	3	4725103	0	0	0	3	0	3	3	150	>30
24-SA01427-0	200x	3	4787863	1595954.33	4725101	4663900.46	1	4725101	3386	3	4787863	1595954.33	4725101	4663900.46	1	4725101	3386	0	0	0	0	0	0	0	0	1144862:1245349:1251207:1146445	52.14	0	3	4787863	1595954.33	0	3	4	1.33	3	4725101	0	0	0	3	0	3	3	200	>30
24-SA01427-0	20x	5	4792019	958403.8	4725110	4659679	1	4725110	3386	5	4792019	958403.8	4725110	4659679	1	4725110	3386	0	0	0	0	0	0	0	0	1145840:1246415:1252287:1147477	52.14	0	5	4792019	958403.8	0	5	5	1	3	4725110	4	2	13656	5	0	3	3	20	20
24-SA01427-0	30x	3	4787867	1595955.67	4725105	4663904.46	1	4725105	3386	3	4787867	1595955.67	4725105	4663904.46	1	4725105	3386	0	0	0	0	0	0	0	0	1144833:1245590:1250960:1146484	52.14	0	3	4787867	1595955.67	0	3	4	1.33	3	4725105	0	0	0	3	0	3	3	30	30
24-SA01427-0	40x	5	4787332	957466.4	4725103	4664420.05	1	4725103	531	5	4787332	957466.4	4725103	4664420.05	1	4725103	531	0	0	0	0	0	0	0	0	1146211:1251008:1245251:1144862	52.14	0	5	4787332	957466.4	0	5	8	1.6	3	4725103	0	0	0	3	2	4	4	40	>30
24-SA01427-0	50x	3	4787868	1595956	4725106	4663905.46	1	4725106	3386	3	4787868	1595956	4725106	4663905.46	1	4725106	3386	0	0	0	0	0	0	0	0	1144950:1245647:1250908:1146363	52.14	0	3	4787868	1595956	0	3	5	1.67	3	4725106	0	0	0	3	0	3	3	50	>30
24-SA01427-0	60x	3	4787867	1595955.67	4725105	4663904.46	1	4725105	3386	3	4787867	1595955.67	4725105	4663904.46	1	4725105	3386	0	0	0	0	0	0	0	0	1146480:1250962:1245593:1144832	52.14	0	3	4787867	1595955.67	0	3	4	1.33	3	4725105	0	0	0	3	0	3	3	60	>30
24-SA01427-0	70x	3	4787566	1595855.33	4725105	4664190.23	1	4725105	3386	3	4787566	1595855.33	4725105	4664190.23	1	4725105	3386	0	0	0	0	0	0	0	0	1144886:1245463:1250882:1146335	52.14	0	3	4787566	1595855.33	0	3	4	1.33	3	4725105	0	0	0	3	0	3	3	70	>30
24-SA01427-0	80x	3	4791249	1597083	4725101	4660611.63	1	4725101	6772	3	4791249	1597083	4725101	4660611.63	1	4725101	6772	0	0	0	0	0	0	0	0	1147433:1251997:1246085:1145734	52.14	0	3	4791249	1597083	0	3	4	1.33	3	4725101	0	0	0	3	0	3	3	80	>30
24-SA01427-0	90x	3	4791251	1597083.67	4725103	4660613.63	1	4725103	6772	3	4791251	1597083.67	4725103	4660613.63	1	4725103	6772	0	0	0	0	0	0	0	0	1147197:1251890:1246194:1145970	52.14	0	3	4791251	1597083.67	0	3	4	1.33	3	4725103	0	0	0	3	0	3	3	90	>30
24-SA01465-0	100x	1	4642439	4642439	4642439	4642439	1	4642439	4642439	1	4642439	4642439	4642439	4642439	1	4642439	4642439	0	0	0	0	0	0	0	0	1107015:1213972:1213411:1108041	52.29	0	1	4642439	4642439	0	1	2	2	1	4642439	0	0	0	1	0	1	1	100	>30
24-SA01465-0	10x	1	4642507	4642507	4642507	4642507	1	4642507	4642507	1	4642507	4642507	4642507	4642507	1	4642507	4642507	0	0	0	0	0	0	0	0	1108054:1213436:1213996:1107021	52.29	0	1	4642507	4642507	0	1	2	2	1	4642507	0	0	0	1	0	1	1	10	10
24-SA01465-0	20x	1	4642440	4642440	4642440	4642440	1	4642440	4642440	1	4642440	4642440	4642440	4642440	1	4642440	4642440	0	0	0	0	0	0	0	0	1107018:1213971:1213410:1108041	52.29	0	1	4642440	4642440	0	1	2	2	1	4642440	0	0	0	1	0	1	1	20	20
24-SA01465-0	30x	1	4642439	4642439	4642439	4642439	1	4642439	4642439	1	4642439	4642439	4642439	4642439	1	4642439	4642439	0	0	0	0	0	0	0	0	1107015:1213972:1213411:1108041	52.29	0	1	4642439	4642439	0	1	2	2	1	4642439	0	0	0	1	0	1	1	30	30
24-SA01465-0	40x	1	4642439	4642439	4642439	4642439	1	4642439	4642439	1	4642439	4642439	4642439	4642439	1	4642439	4642439	0	0	0	0	0	0	0	0	1107015:1213972:1213411:1108041	52.29	0	1	4642439	4642439	0	1	2	2	1	4642439	0	0	0	1	0	1	1	40	>30
